fold,train_start,train_end,test_start,test_end,n_train_rows,n_test_rows,rmse,mae,mape,r2
fold_1,2013-01-01,2015-12-31,2016-01-01,2016-03-31,288288,24024,298.96220990679615,72.02227608855341,513.603909513754,0.9481885453557556
fold_2,2013-01-01,2016-03-31,2016-04-01,2016-06-30,312312,24024,395.43258506353385,77.32827878667815,151.59831822848182,0.9203404040072839
fold_3,2013-01-01,2016-06-30,2016-07-01,2016-09-30,336336,24288,183.16021862266487,60.30751080907102,588.8290488600107,0.9791833420978003
fold_4,2013-01-01,2016-09-30,2016-10-01,2016-12-31,360624,24024,304.4623717635407,75.69954208111537,176.8950730638254,0.9604351447063537
fold_5,2013-01-01,2016-12-31,2017-01-01,2017-03-31,384648,23760,418.09821773338655,121.377483704911,683.2949494915276,0.9175597855612483
all_folds,,,,,,120120,330.22542686984576,81.21279857341558,422.63664246749465,0.9441377553162267
