fold,MAE,RMSE,MAPE,R2,accuracy,coverage_95,avg_width,mean_sale,WAPE,segment
1,189.90958373858,485.0150246045086,27.061013501986796,0.9361549332927801,72.93898649801321,96.29120879120879,1894.002075197717,1085.754560484679,17.491023353731503,High
2,226.0918132237528,698.0561957873227,27.953568511689692,0.8846079213391899,72.0464314883103,97.18934911242604,2732.8415305124217,1135.9490059355453,19.90334179108225,High
3,143.57896943881275,334.6288509961588,19.736094003938916,0.9671276723961223,80.26390599606108,95.48494983277592,1311.5219106908105,1079.3299202618102,13.30260254473305,High
4,206.35551219882666,559.8601712338091,22.478465252132658,0.937783726848241,77.52153474786735,96.25950972104819,2193.7251532617006,1243.2128883368555,16.598566032796263,High
5,222.7899756521404,619.8217020553675,25.768739406398428,0.9156391689182632,74.23126059360158,96.74145299145299,2426.432188563559,1187.2470571208332,18.76525819254701,High
Overall (5 folds),197.74517085042254,539.4763889354333,24.599576135229295,0.9282626845589192,75.4004238647707,96.39329408978239,2111.704571645242,1146.2986864279444,17.212158382978014,High
