family,feature,coef_scaled,coef
AUTOMOTIVE,is_holiday,0.05097113806061254,0.257131692755915
AUTOMOTIVE,is_weekend,0.8633567980483099,1.9112920276673613
AUTOMOTIVE,month,0.04519186618135779,0.013347994780555336
AUTOMOTIVE,onpromotion,0.24169512754971567,0.6459558457370738
AUTOMOTIVE,promo_weekend,0.15592382481086725,0.657267570679552
AUTOMOTIVE,rolling_mean_30,3.633661560332048,0.7148905490457114
AUTOMOTIVE,sales_lag_14,0.626159867231257,0.09308635539825119
AUTOMOTIVE,sales_lag_7,0.87618983360151,0.13008725922373215
BABY CARE,dcoilwtico,-0.013382966352843905,-0.0005213642994444167
BABY CARE,is_weekend,0.01126815758335373,0.0249453526100091
BABY CARE,onpromotion,0.03883294236194607,0.8238341667741504
BABY CARE,promo_weekend,0.0074468631309648195,0.23112725754043853
BABY CARE,rolling_mean_30,0.32949140625850415,0.7244070646321117
BABY CARE,sales_lag_14,0.006742044750036589,0.009120900902163678
BABY CARE,sales_lag_7,0.07201824268333569,0.09732560068611541
BABY CARE,transactions,0.006024661675141916,5.426057892592955e-06
BEAUTY,dcoilwtico,0.05614792033050818,0.002187371646657069
BEAUTY,is_holiday,0.05904963509552157,0.29788490519232647
BEAUTY,is_weekend,0.49125790782990686,1.0875426299837965
BEAUTY,month,0.06022209285576547,0.017787364166086863
BEAUTY,onpromotion,0.23279911203516848,0.5521110006650569
BEAUTY,promo_holiday,0.12525395857522098,1.8805113818976622
BEAUTY,promo_weekend,0.23862067980574345,0.9250999779570455
BEAUTY,rolling_mean_30,2.4080220653883972,0.6308840186292705
BEAUTY,sales_lag_14,0.7851899897358865,0.16094753580705404
BEAUTY,sales_lag_7,0.7971625036184533,0.16267454576614532
BEVERAGES,day_of_week,-2.7490731855158836,-1.374028243880759
BEVERAGES,dcoilwtico,23.978979559615208,0.9341564156913627
BEVERAGES,is_holiday,10.214679714419717,51.529512305668234
BEVERAGES,is_weekend,109.92654030650384,243.35445159154142
BEVERAGES,month,55.41671847451458,16.368035477553736
BEVERAGES,onpromotion,30.4038244633593,1.7452154456240652
BEVERAGES,promo_holiday,30.251051152998876,5.749512496471902
BEVERAGES,promo_weekend,37.4224356645178,3.4481204840113637
BEVERAGES,rolling_mean_30,596.8943943067351,0.2492270877410095
BEVERAGES,sales_lag_14,737.0020721839226,0.27847031775201503
BEVERAGES,sales_lag_7,1202.9023087432447,0.453350937498688
BEVERAGES,transactions,30.281101675835043,0.027272404593690996
BOOKS,month,0.008038074148897376,0.0023741478467525275
BOOKS,rolling_mean_30,0.35768618566801413,0.8203235032270039
BOOKS,sales_lag_14,-0.015009293497766443,-0.021169413920451543
BOOKS,sales_lag_7,0.013805516536983878,0.019471582323347957
BREAD/BAKERY,day_of_week,-3.3292177840786645,-1.663993264877658
BREAD/BAKERY,dcoilwtico,2.3375375351450005,0.09106416225704131
BREAD/BAKERY,is_holiday,-3.630436913582087,-18.31429362873644
BREAD/BAKERY,is_weekend,22.49471624371842,49.798613873719376
BREAD/BAKERY,month,-0.7363681890688866,-0.21749574812453937
BREAD/BAKERY,onpromotion,7.064249374654181,0.6522163256744453
BREAD/BAKERY,promo_holiday,4.565531863233586,2.7551437631801043
BREAD/BAKERY,promo_weekend,-6.347962244861419,-0.5981993609351132
BREAD/BAKERY,rolling_mean_30,97.82401383339428,0.2616398528924957
BREAD/BAKERY,sales_lag_14,128.82398269087093,0.31659822937651816
BREAD/BAKERY,sales_lag_7,171.57905458125666,0.4205793732608815
BREAD/BAKERY,transactions,4.300872172633784,0.0038735422262202355
CELEBRATION,day_of_week,0.7835206910862036,0.3916154596718701
CELEBRATION,dcoilwtico,-0.5142298287690278,-0.020033008180777093
CELEBRATION,is_weekend,-0.2259557346444785,-0.5002189074180985
CELEBRATION,month,0.5946872890925627,0.17564848503965091
CELEBRATION,onpromotion,0.09877314330742372,0.18636168310477513
CELEBRATION,promo_holiday,0.10978513663243557,0.9666642469866928
CELEBRATION,promo_weekend,0.08558966860722281,0.2502283665869618
CELEBRATION,rolling_mean_30,4.745599660382542,0.42916862763717684
CELEBRATION,sales_lag_14,5.808167330229122,0.33786509503833523
CELEBRATION,sales_lag_7,1.5038277035145398,0.08742580165301288
CELEBRATION,transactions,0.059836634618238016,5.3891332168265397e-05
CLEANING,day_of_week,-25.05834310852605,-12.52453785420353
CLEANING,dcoilwtico,8.588660490391412,0.3345910646175475
CLEANING,is_holiday,-2.272216232820533,-11.46254191063653
CLEANING,is_weekend,121.08223949237464,268.0508447458084
CLEANING,month,22.191622247757028,6.55457901973759
CLEANING,onpromotion,15.661707572024591,1.03914566599346
CLEANING,promo_holiday,13.158112855802814,3.2811641717147952
CLEANING,rolling_mean_30,313.7932311386842,0.5605571385058672
CLEANING,sales_lag_14,145.70065166764405,0.21782424505724884
CLEANING,sales_lag_7,132.4900797105185,0.1977321950420003
CLEANING,transactions,22.79138133981471,0.020526854663433746
DAIRY,dcoilwtico,4.778470519896699,0.1861563325601823
DAIRY,is_holiday,0.32269915536966437,1.6279051876855164
DAIRY,is_weekend,22.825483959006558,50.53086466350767
DAIRY,month,13.635809971082454,4.027510605387097
DAIRY,onpromotion,2.585233068036083,0.12341808999996841
DAIRY,promo_holiday,11.012323632844941,2.7163475863675557
DAIRY,promo_weekend,10.329532549428118,1.9198641295927172
DAIRY,rolling_mean_30,168.2050806510108,0.22992473450264792
DAIRY,sales_lag_14,284.3036741179915,0.36413653718286054
DAIRY,sales_lag_7,315.20428477141115,0.4031066495777078
