feature,n_families,pct_families
rolling_mean_30,33,100.0
sales_lag_7,33,100.0
sales_lag_14,32,96.96969696969697
onpromotion,32,96.96969696969697
is_weekend,31,93.93939393939394
month,29,87.87878787878788
is_holiday,27,81.81818181818181
promo_weekend,27,81.81818181818181
dcoilwtico,26,78.78787878787878
transactions,24,72.72727272727273
promo_holiday,23,69.6969696969697
day_of_week,21,63.63636363636363
