family,segment,mean_sale,coef_promo,coef_promo_weekend,coef_promo_holiday,uplift_normal_abs,uplift_weekend_abs,uplift_holiday_abs,uplift_normal_pct,uplift_weekend_pct,uplift_holiday_pct,uplift_max_pct
BABY CARE,Ultra-low,0.1814875296912114,0.9462346499442892,0.4333945196691209,-0.5925761210550125,0.9462346499442892,1.37962916961341,0.35365852888927674,521.377224286688,760.178489595935,194.86657157234814,760.178489595935
SCHOOL AND OFFICE SUPPLIES,Low,3.5953087885985746,7.631370800753723,4.9774230021561525,-7.772019477126115,7.631370800753723,12.608793802909876,-0.14064867637239153,212.25912007423943,350.70127604582416,-3.9120054661033805,350.70127604582416
HOME APPLIANCES,Ultra-low,0.5584174584323041,0.7832541464788548,0.5025463982039112,-0.9996273905764852,0.7832541464788548,1.285800544682766,-0.21637324409763037,140.26319078116276,230.25794107332015,-38.747578615754385,230.25794107332015
HARDWARE,Low,1.5515142517814726,1.228646587809924,-0.793124962270081,0.0662238454212793,1.228646587809924,0.43552162553984297,1.2948704332312033,79.19015797678117,28.070746031437533,83.45849423618431,83.45849423618431
PET SUPPLIES,Low,4.171392517814727,0.8292312229331357,2.363381193617057,0.3479221999389135,0.8292312229331357,3.1926124165501926,1.177153422872049,19.87900249599997,76.53589064443524,28.21967526581577,76.53589064443524
BEAUTY,Low,3.6558046318289783,0.5739516482872673,0.9351484328692704,1.9649465561255095,0.5739516482872673,1.5091000811565376,2.538898204412777,15.699735241134183,41.27956039020466,69.44841038860702,69.44841038860702
LAWN AND GARDEN,Low,4.002672209026128,1.0150825346452723,-0.7762215684191474,0.892597163655377,1.0150825346452723,0.23886096622612496,1.9076796983006492,25.360121473415532,5.96753752725022,47.660152972861006,47.660152972861006
LINGERIE,Low,10.703681710213775,2.490525708438197,0.7732256421828207,-0.6277470286965607,2.490525708438197,3.2637513506210176,1.8627786797416361,23.267935049198847,30.491857275630025,17.403158371105945,30.491857275630025
GROCERY II,Medium,23.269299287410927,6.796615624117722,-6.620419212070538,-4.708731019508655,6.796615624117722,0.17619641204718395,2.0878846046090667,29.208510062452625,0.7572054915075893,8.972700805171728,29.208510062452625
AUTOMOTIVE,Low,6.689133016627078,0.8074270590888697,0.7932683668532656,0.4201375213570439,0.8074270590888697,1.6006954259421353,1.2275645804459137,12.070728104242404,23.929789132971532,18.351624600842268,23.929789132971532
"LIQUOR,WINE,BEER",Medium,89.60970902612827,4.087772976279755,2.336824870305044,12.962146485561275,4.087772976279755,6.424597846584799,17.04991946184103,4.56175231530127,7.169533208326597,19.026866225711508,19.026866225711508
HOME AND KITCHEN II,Medium,20.69076603325416,1.3524063711215517,2.544279377390665,1.40835505588815,1.3524063711215517,3.8966857485122164,2.760761427009702,6.536279850067436,18.832969944472527,13.342963824728296,18.832969944472527
MAGAZINES,Low,2.9880492874109263,0.2773905167237503,-0.0362346955161172,0.2315267210523462,0.2773905167237503,0.24115582120763313,0.5089172377760965,9.283331362692122,8.070677486577946,17.031755123649372,17.031755123649372
PLAYERS AND ELECTRONICS,Low,6.862010095011876,1.132175757651806,-0.0443067918742094,-0.3168839034571871,1.132175757651806,1.0878689657775964,0.8152918541946188,16.49918525054071,15.85350284474011,11.88123950252503,16.49918525054071
HOME AND KITCHEN I,Medium,25.526499406175773,1.172243592477168,1.3152412314712525,2.7978551887144656,1.172243592477168,2.4874848239484204,3.9700987811916333,4.5922614526128,9.744715811871805,15.552852421572524,15.552852421572524
CELEBRATION,Low,9.052256532066508,0.1890722909325743,0.2712019966480183,1.042504058641861,0.1890722909325743,0.46027428758059263,1.2315763495744354,2.0886757930679734,5.084635923642697,13.605186122108618,13.605186122108618
LADIESWEAR,Low,6.3741092636579575,0.1817651742658377,0.5884603250977798,0.4385724988087859,0.1817651742658377,0.7702254993636175,0.6203376730746236,2.851616856862767,12.08365698458024,9.732146835231756,12.08365698458024
SEAFOOD,Medium,21.55973754725356,1.1289422586324047,-0.2221484411837458,0.9770498186276528,1.1289422586324047,0.906793817448659,2.1059920772600575,5.236345090498814,4.2059594437044225,9.768171215194837,9.768171215194837
FROZEN FOODS,High,168.30431116005047,12.62917892271244,-11.407683058223627,3.035175491137891,12.62917892271244,1.221495864488812,15.66435441385033,7.503776246484604,0.7257662362076763,9.307161715460218,9.307161715460218
PREPARED FOODS,Medium,117.75875629483372,1.168104823419703,-0.8432052022658142,1.9998698374421275,1.168104823419703,0.3248996211538887,3.16797466086183,0.9919473168391726,0.27590272806352967,2.6902242860847134,2.6902242860847134
HOME CARE,High,186.5498812351544,0.669306914931069,2.2135774762053,1.3645335377490155,0.669306914931069,2.882884391136369,2.0338404526800846,0.358781742714588,1.5453691913568746,1.090239478686902,1.5453691913568746
EGGS,High,194.3983818289786,0.783611819122857,-1.1034756163516546,1.7389688007823128,0.783611819122857,-0.31986379722879754,2.52258061990517,0.40309585488638805,-0.1645403599648023,1.297634577077615,1.297634577077615
MEATS,High,288.06249981606294,3.4136102133191635,-1.5363695130121415,-0.96939861129524,3.4136102133191635,1.877240700307022,2.4442116020239233,1.185024158120898,0.6516782647860041,0.8485004481930641,1.185024158120898
PERSONAL CARE,High,289.5449079572447,0.1174664709324911,0.7377110283669158,2.8994081517195065,0.1174664709324911,0.8551774992994069,3.0168746226519976,0.04056934441044668,0.29535228415162884,1.0419366874471374,1.0419366874471374
POULTRY,High,299.07201890088334,2.1975061723695126,-2.008178748121144,0.2937962839045219,2.1975061723695126,0.18932742424836846,2.4913024562740347,0.7347749148978224,0.06330496077283686,0.8330108799283417,0.8330108799283417
