family,segment,coef_promo,coef_promo_weekend,coef_promo_holiday,mean_sale
AUTOMOTIVE,Low,0.8074270590888697,0.7932683668532656,0.4201375213570439,6.689133016627078
BABY CARE,Ultra-low,0.9462346499442893,0.4333945196691209,-0.5925761210550125,0.1814875296912114
BEAUTY,Low,0.5739516482872673,0.9351484328692705,1.9649465561255097,3.6558046318289787
BEVERAGES,High,1.823802192998027,3.45894608928375,5.806686135195933,2562.9251781472685
BOOKS,Ultra-low,0.0,3.116207107894259e-15,1.48318857196017e-16,0.07497030878859857
BREAD/BAKERY,High,0.8703772942401176,-0.8236529029758644,2.835788315371476,529.2015078882125
CELEBRATION,Low,0.18907229093257438,0.27120199664801836,1.042504058641861,9.052256532066508
CLEANING,High,1.1799253953561375,-0.19756008357421104,3.6958152469559766,1244.6114162707838
DAIRY,High,0.1929137083800693,2.0334417500404545,2.8271521081193556,760.2788004750594
DELI,High,0.4945245567063555,-0.3806172233260976,0.5067520452901351,264.5117514098129
EGGS,High,0.783611819122857,-1.1034756163516546,1.7389688007823128,194.39838182897861
FROZEN FOODS,High,12.629178922712441,-11.407683058223629,3.035175491137891,168.30431116005047
GROCERY I,High,0.5008588998188641,0.42604483313859054,5.5196024790907,4209.822257200119
GROCERY II,Medium,6.796615624117722,-6.620419212070538,-4.708731019508655,23.269299287410927
HARDWARE,Low,1.228646587809924,-0.793124962270081,0.06622384542127935,1.5515142517814726
HOME AND KITCHEN I,Medium,1.172243592477168,1.3152412314712523,2.7978551887144656,25.526499406175773
HOME AND KITCHEN II,Medium,1.3524063711215517,2.544279377390665,1.40835505588815,20.690766033254157
HOME APPLIANCES,Ultra-low,0.7832541464788548,0.5025463982039112,-0.9996273905764851,0.5584174584323041
HOME CARE,High,0.669306914931069,2.2135774762053,1.3645335377490155,186.5498812351544
LADIESWEAR,Low,0.1817651742658377,0.5884603250977798,0.4385724988087859,6.3741092636579575
LAWN AND GARDEN,Low,1.0150825346452725,-0.7762215684191474,0.892597163655377,4.002672209026128
LINGERIE,Low,2.490525708438197,0.7732256421828207,-0.6277470286965607,10.703681710213777
"LIQUOR,WINE,BEER",Medium,4.087772976279755,2.3368248703050436,12.962146485561277,89.60970902612827
MAGAZINES,Low,0.2773905167237503,-0.03623469551611722,0.23152672105234623,2.9880492874109263
MEATS,High,3.4136102133191635,-1.5363695130121415,-0.9693986112952399,288.06249981606294
PERSONAL CARE,High,0.11746647093249113,0.7377110283669158,2.8994081517195065,289.5449079572447
PET SUPPLIES,Low,0.8292312229331357,2.363381193617057,0.3479221999389135,4.171392517814727
PLAYERS AND ELECTRONICS,Low,1.1321757576518061,-0.044306791874209446,-0.3168839034571871,6.862010095011876
POULTRY,High,2.1975061723695126,-2.008178748121144,0.29379628390452195,299.07201890088334
PREPARED FOODS,Medium,1.1681048234197027,-0.8432052022658142,1.9998698374421275,117.75875629483372
PRODUCE,High,4.330751219115555,5.988986569707851,-0.5301253665634671,1455.6481320724467
SCHOOL AND OFFICE SUPPLIES,Low,7.631370800753723,4.9774230021561525,-7.772019477126115,3.5953087885985746
SEAFOOD,Medium,1.1289422586324047,-0.22214844118374583,0.9770498186276527,21.55973754725356
