family_name,MAE,RMSE,MAPE,R2,accuracy,coverage_95,avg_width,mean_sale,WAPE,segment
HARDWARE,1.1284549095226928,1.7174366882776424,19838146.720442947,0.16634420311455267,22.74590163934426,95.49180327868852,4.59157687329877,1.4118852459016393,0.7992539852642585,Low
BEAUTY,2.207797048541434,4.366262480587751,14134462.401332939,0.5538129946817087,28.770491803278688,95.5327868852459,10.169641460257207,4.696311475409836,0.47011299401702594,Low
MAGAZINES,2.5423591388155327,4.4331736735587555,15978017.0352329,0.7494309847755005,24.18032786885246,96.10655737704919,11.981284722904508,6.325819672131147,0.40190193059345,Low
PET SUPPLIES,2.5532981479831967,5.060463205752397,11087957.39474939,0.8508823801147929,32.37704918032787,95.65573770491802,12.935437143649713,7.444262295081967,0.34298874042496147,Low
LAWN AND GARDEN,2.9790159838484427,8.516809713510108,15282754.665257968,0.4843534964743421,51.63934426229508,91.92622950819673,10.214845950548199,5.480327868852459,0.5435835327991475,Low
AUTOMOTIVE,3.0768593926188523,4.216618972947583,7200976.622348434,0.43687586861717953,25.860655737704917,94.54918032786885,14.306044115514412,7.173360655737705,0.4289285789858881,Low
SCHOOL AND OFFICE SUPPLIES,3.077376296660287,12.095698085573394,15348585.358790757,0.6723019031415036,54.30327868852459,92.62295081967213,11.229425495090082,5.704508196721312,0.5394639100403118,Low
LADIESWEAR,3.431798391110656,6.527575954731094,6061356.246851416,0.7630282866422832,55.860655737704924,95.81967213114754,15.812475024405247,9.7577868852459,0.35169843648662275,Low
LINGERIE,3.884822810995082,6.241313125212846,21403833.93871148,0.39970114630954556,24.42622950819672,90.86065573770492,15.89556119694701,8.236065573770492,0.4716842983095143,Low
PLAYERS AND ELECTRONICS,3.8876609026897544,6.2619223914955695,5575170.139156717,0.7882425737496105,30.245901639344265,94.95901639344262,18.99998809776635,11.455327868852459,0.33937578628897,Low
CELEBRATION,6.143053264377049,10.04457582415214,9166400.674411884,0.5402856579349994,28.196721311475407,90.49180327868852,24.97843877859205,14.990573770491803,0.40979440536621375,Low
