fold,segment,MAE,RMSE,MAPE,R2,accuracy,coverage_95,avg_width
1,High,152.94814724907368,375.7529669269659,19.266389268302227,0.9599648327169954,68.2219419924338,92.1343001261034,696.2714233398438
2,High,156.0691676962842,372.1821104750233,19.928919345917752,0.9606176509978468,64.61223203026482,92.79634300126104,730.7437133789062
3,High,127.2307846554064,301.0936167343935,15.758322109860218,0.973817993975278,74.51923076923077,94.50992555831266,601.3116455078125
4,High,233.93318950028112,606.0352780203892,23.21973918109436,0.9312735804837508,59.12673392181589,84.74148802017655,811.786865234375
5,High,166.12499327918437,408.9336950054716,18.419866021702397,0.961371637854866,66.97115384615384,92.32371794871796,729.0301513671875
avg,High,167.26125647604596,412.7995334324487,19.31864718537539,0.9574091392057476,66.69025851197982,91.30115493091431,713.828759765625
