family,RMSE,MAE,R2,Accuracy_Pct,Order,Seasonal_Order
BREAD/BAKERY,637.9934,538.2402,0.2276,88.4696,"(3, 1, 0)","(2, 0, 0, 7)"
POULTRY,265.7279,188.7971,0.7550,92.5012,"(3, 1, 2)","(2, 0, 1, 7)"
PERSONAL CARE,1404.3786,1268.8584,-4.0679,47.2630,"(3, 1, 0)","(2, 0, 0, 7)"
MEATS,355.6065,259.3035,0.3061,89.2706,"(3, 1, 0)","(2, 0, 1, 7)"
DELI,507.5671,406.7200,-0.4656,82.1797,"(3, 1, 0)","(2, 0, 0, 7)"
EGGS,382.3883,344.3484,-0.1879,79.3337,"(3, 1, 0)","(1, 0, 2, 7)"
HOME CARE,1429.2655,1102.8882,-3.9217,56.5336,"(1, 1, 0)","(2, 0, 1, 7)"
FROZEN FOODS,304.2197,254.9559,-0.5132,75.4483,"(1, 0, 0)","(1, 0, 1, 7)"
AVERAGE (Trung bình nhóm),660.8934,545.5140,-0.9835,76.3750,-,-
