family,RMSE,MAE,R2,Accuracy_Pct,Order,Seasonal_Order
GROCERY I,19411.4141,18340.9607,-7.4099,51.5746,"(1, 1, 0)","(1, 0, 1, 7)"
BEVERAGES,5539.4553,4428.5050,0.4316,85.4832,"(3, 1, 2)","(1, 0, 1, 7)"
AVERAGE (Trung bình nhóm),12475.4347,11384.7328,-3.4892,68.5289,-,-
