family,RMSE,MAE,R2,Accuracy_Pct,Order,Seasonal_Order
PRODUCE,1756.9534,1363.2508,0.6756,92.7463,"(3, 1, 3)","(2, 0, 2, 7)"
CLEANING,4440.9589,3516.9367,-1.3808,68.0739,"(1, 1, 0)","(2, 0, 1, 7)"
DAIRY,983.2980,837.5863,0.4669,88.0216,"(1, 1, 0)","(2, 0, 1, 7)"
AVERAGE (Trung bình nhóm),2393.7368,1905.9246,-0.0794,82.9473,-,-
