family,RMSE,MAE,R2,Accuracy_Pct,Order,Seasonal_Order
HOME AND KITCHEN I,86.4895,68.9088,-0.1319,78.6476,"(0, 1, 1)","(0, 0, 2, 7)"
GROCERY II,87.8718,68.2923,-0.4729,71.6381,"(2, 0, 3)","(1, 0, 0, 7)"
SEAFOOD,38.1090,32.0094,-0.0496,78.6635,"(1, 1, 2)","(0, 0, 2, 7)"
HOME AND KITCHEN II,63.7324,45.7542,0.1025,84.7361,"(2, 1, 1)","(1, 0, 1, 7)"
AVERAGE (Trung bình nhóm),69.0507,53.7412,-0.1380,78.4213,-,-
