fold,train_start,train_end,test_start,test_end,n_train_rows,n_test_rows,rmse,mae,mape,r2
fold_1,2013-01-01,2015-12-31,2016-01-01,2016-03-31,288288,24024,318.5280245629452,70.98276568538031,243.92229402651034,0.9411849471269167
fold_2,2013-01-01,2016-03-31,2016-04-01,2016-06-30,312312,24024,393.30776512579587,76.56598071091841,246.99360098148105,0.9211941907038101
fold_3,2013-01-01,2016-06-30,2016-07-01,2016-09-30,336336,24288,176.43222566473924,58.71764409780001,508.1682398353269,0.9806845636292371
fold_4,2013-01-01,2016-09-30,2016-10-01,2016-12-31,360624,24024,292.84146494246664,70.84543960876073,91.520587735617,0.9633977763183904
fold_5,2013-01-01,2016-12-31,2017-01-01,2017-03-31,384648,23760,349.16186747286923,77.42009236003341,721.4314801832681,0.9425042033918003
all_folds,,,,,,120120,314.3093760138151,70.86528021068357,361.9385301340936,0.9493928319457833
